id,Actor1,Actor2,Actor3,Director_Name,original_title,genres_list,Comb
64,Leonor Watling,Rosario Flores,Javier Cámara,Pedro Almodóvar,Hable con ella,Drama Romance,Leonor Watling Rosario Flores Javier Cámara Pedro Almodóvar Drama Romance
65,Eminem,Mekhi Phifer,Brittany Murphy,Curtis Hanson,8 Mile,Drama,Eminem Mekhi Phifer Brittany Murphy Curtis Hanson Drama
66,Clint Eastwood,Gene Hackman,Ed Harris,Clint Eastwood,Absolute Power,Crime Drama Thriller,Clint Eastwood Gene Hackman Ed Harris Clint Eastwood Crime Drama Thriller
67,Ali Suliman,Amer Hlehel,Hiam Abbass,Hany Abu-Assad,Paradise Now,Thriller Crime Drama,Ali Suliman Amer Hlehel Hiam Abbass Hany Abu-Assad Thriller Crime Drama
68,Jonathan Pryce,Robert De Niro,Katherine Helmond,Terry Gilliam,Brazil,Comedy Sci-Fi,Jonathan Pryce Robert De Niro Katherine Helmond Terry Gilliam Comedy Sci-Fi
69,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,James Mangold,Walk the Line,Drama Music Romance,Joaquin Phoenix Reese Witherspoon Ginnifer Goodwin James Mangold Drama Music Romance
70,Clint Eastwood,Hilary Swank,Morgan Freeman,Clint Eastwood,Million Dollar Baby,Drama,Clint Eastwood Hilary Swank Morgan Freeman Clint Eastwood Drama
71,Jamie Bell,Julie Walters,Jean Heywood,Stephen Daldry,Billy Elliot,Drama Comedy Music,Jamie Bell Julie Walters Jean Heywood Stephen Daldry Drama Comedy Music
73,Edward Norton,Edward Furlong,Beverly D'Angelo,Tony Kaye,American History X,Drama,Edward Norton Edward Furlong Beverly D'Angelo Tony Kaye Drama
74,Tom Cruise,Dakota Fanning,Miranda Otto,Steven Spielberg,War of the Worlds,Adventure Thriller Sci-Fi,Tom Cruise Dakota Fanning Miranda Otto Steven Spielberg Adventure Thriller Sci-Fi
75,Jack Nicholson,Glenn Close,Annette Bening,Tim Burton,Mars Attacks!,Comedy Fantasy Sci-Fi,Jack Nicholson Glenn Close Annette Bening Tim Burton Comedy Fantasy Sci-Fi
76,Ethan Hawke,Julie Delpy,Andrea Eckert,Richard Linklater,Before Sunrise,Drama Romance,Ethan Hawke Julie Delpy Andrea Eckert Richard Linklater Drama Romance
77,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Christopher Nolan,Memento,Mystery Thriller,Guy Pearce Carrie-Anne Moss Joe Pantoliano Christopher Nolan Mystery Thriller
78,Harrison Ford,Rutger Hauer,Sean Young,Ridley Scott,Blade Runner,Sci-Fi Drama Thriller,Harrison Ford Rutger Hauer Sean Young Ridley Scott Sci-Fi Drama Thriller
79,Jet Li,Tony Leung Chiu-Wai,Maggie Cheung,Zhang Yimou,英雄,Drama Adventure Action History,Jet Li Tony Leung Chiu-Wai Maggie Cheung Zhang Yimou Drama Adventure Action History
80,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Richard Linklater,Before Sunset,Drama Romance,Ethan Hawke Julie Delpy Vernon Dobtcheff Richard Linklater Drama Romance
81,Sumi Shimamoto,Ichirō Nagai,Gorō Naya,Hayao Miyazaki,風の谷のナウシカ,Adventure Animation Fantasy,Sumi Shimamoto Ichirō Nagai Gorō Naya Hayao Miyazaki Adventure Animation Fantasy
82,Jamie Foxx,Colin Farrell,Gong Li,Michael Mann,Miami Vice,Action Adventure Crime Thriller,Jamie Foxx Colin Farrell Gong Li Michael Mann Action Adventure Crime Thriller
83,Blanchard Ryan,Daniel Travis,Saul Stein,Chris Kentis,Open Water,Drama Thriller,Blanchard Ryan Daniel Travis Saul Stein Chris Kentis Drama Thriller
85,Harrison Ford,Karen Allen,Paul Freeman,Steven Spielberg,Raiders of the Lost Ark,Adventure Action,Harrison Ford Karen Allen Paul Freeman Steven Spielberg Adventure Action
86,Christian Ulmen,Moritz Bleibtreu,Martina Gedeck,Oskar Roehler,Elementarteilchen,Drama Romance,Christian Ulmen Moritz Bleibtreu Martina Gedeck Oskar Roehler Drama Romance
87,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,Steven Spielberg,Indiana Jones and the Temple of Doom,Adventure Action,Harrison Ford Kate Capshaw Jonathan Ke Quan Steven Spielberg Adventure Action
88,Jennifer Grey,Patrick Swayze,Jerry Orbach,Emile Ardolino,Dirty Dancing,Drama Music Romance,Jennifer Grey Patrick Swayze Jerry Orbach Emile Ardolino Drama Music Romance
89,Harrison Ford,Sean Connery,Denholm Elliott,Steven Spielberg,Indiana Jones and the Last Crusade,Adventure Action,Harrison Ford Sean Connery Denholm Elliott Steven Spielberg Adventure Action
90,Eddie Murphy,Judge Reinhold,John Ashton,Martin Brest,Beverly Hills Cop,Action Comedy Crime,Eddie Murphy Judge Reinhold John Ashton Martin Brest Action Comedy Crime
93,James Stewart,Lee Remick,Ben Gazzara,Otto Preminger,Anatomy of a Murder,Crime Drama Mystery Thriller,James Stewart Lee Remick Ben Gazzara Otto Preminger Crime Drama Mystery Thriller
95,Bruce Willis,Billy Bob Thornton,Ben Affleck,Michael Bay,Armageddon,Action Thriller Sci-Fi Adventure,Bruce Willis Billy Bob Thornton Ben Affleck Michael Bay Action Thriller Sci-Fi Adventure
96,Eddie Murphy,Judge Reinhold,John Ashton,Tony Scott,Beverly Hills Cop II,Action Comedy Crime,Eddie Murphy Judge Reinhold John Ashton Tony Scott Action Comedy Crime
97,Jeff Bridges,Bruce Boxleitner,David Warner,Steven Lisberger,Tron,Sci-Fi Action Adventure,Jeff Bridges Bruce Boxleitner David Warner Steven Lisberger Sci-Fi Action Adventure
98,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Ridley Scott,Gladiator,Action Drama Adventure,Russell Crowe Joaquin Phoenix Connie Nielsen Ridley Scott Action Drama Adventure
99,Cecilia Roth,Marisa Paredes,Penélope Cruz,Pedro Almodóvar,Todo sobre mi madre,Comedy Drama,Cecilia Roth Marisa Paredes Penélope Cruz Pedro Almodóvar Comedy Drama
100,Jason Flemyng,Dexter Fletcher,Nick Moran,Guy Ritchie,"Lock, Stock and Two Smoking Barrels",Comedy Crime,Jason Flemyng Dexter Fletcher Nick Moran Guy Ritchie Comedy Crime
101,Jean Reno,Natalie Portman,Gary Oldman,Luc Besson,Léon,Thriller Crime Drama,Jean Reno Natalie Portman Gary Oldman Luc Besson Thriller Crime Drama
102,Sonja Richter,Nikolaj Lie Kaas,Mads Mikkelsen,Susanne Bier,Elsker dig for evigt,Drama Romance,Sonja Richter Nikolaj Lie Kaas Mads Mikkelsen Susanne Bier Drama Romance
103,Robert De Niro,Cybill Shepherd,Harvey Keitel,Martin Scorsese,Taxi Driver,Crime Drama,Robert De Niro Cybill Shepherd Harvey Keitel Martin Scorsese Crime Drama
104,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Tom Tykwer,Lola rennt,Action Drama Thriller,Franka Potente Moritz Bleibtreu Herbert Knaup Tom Tykwer Action Drama Thriller
105,Michael J. Fox,Christopher Lloyd,Lea Thompson,Robert Zemeckis,Back to the Future,Adventure Comedy Sci-Fi Family,Michael J. Fox Christopher Lloyd Lea Thompson Robert Zemeckis Adventure Comedy Sci-Fi Family
106,Arnold Schwarzenegger,Carl Weathers,Elpidia Carrillo,John McTiernan,Predator,Sci-Fi Action Adventure Thriller,Arnold Schwarzenegger Carl Weathers Elpidia Carrillo John McTiernan Sci-Fi Action Adventure Thriller
107,Benicio del Toro,Dennis Farina,Vinnie Jones,Guy Ritchie,Snatch,Thriller Crime,Benicio del Toro Dennis Farina Vinnie Jones Guy Ritchie Thriller Crime
108,Juliette Binoche,Benoît Régent,Florence Pernel,Krzysztof Kieślowski,Trois couleurs : Bleu,Drama Music Mystery,Juliette Binoche Benoît Régent Florence Pernel Krzysztof Kieślowski Drama Music Mystery
109,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Krzysztof Kieślowski,Trois couleurs : Blanc,Comedy Drama Mystery,Zbigniew Zamachowski Julie Delpy Janusz Gajos Krzysztof Kieślowski Comedy Drama Mystery
110,Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Krzysztof Kieślowski,Trois couleurs : Rouge,Drama Mystery Romance,Irène Jacob Jean-Louis Trintignant Jean-Pierre Lorit Krzysztof Kieślowski Drama Mystery Romance
112,Peter Gantzler,Sara Indrio Jensen,Ann Eleonora Jørgensen,Lone Scherfig,Italiensk for begyndere,Comedy Drama Romance,Peter Gantzler Sara Indrio Jensen Ann Eleonora Jørgensen Lone Scherfig Comedy Drama Romance
113,Kim Ki-duk,Kim Young-min,Ha Yeo-jin,Kim Ki-duk,봄 여름 가을 겨울 그리고 봄,Drama,Kim Ki-duk Kim Young-min Ha Yeo-jin Kim Ki-duk Drama
114,Julia Roberts,Richard Gere,Ralph Bellamy,Garry Marshall,Pretty Woman,Romance Comedy,Julia Roberts Richard Gere Ralph Bellamy Garry Marshall Romance Comedy
115,Jeff Bridges,John Goodman,Julianne Moore,Joel Coen,The Big Lebowski,Comedy Crime,Jeff Bridges John Goodman Julianne Moore Joel Coen Comedy Crime
116,Jonathan Rhys Meyers,Scarlett Johansson,Emily Mortimer,Woody Allen,Match Point,Drama Thriller Crime Romance,Jonathan Rhys Meyers Scarlett Johansson Emily Mortimer Woody Allen Drama Thriller Crime Romance
117,Kevin Costner,Sean Connery,Charles Martin Smith,Brian De Palma,The Untouchables,Crime Drama History Thriller,Kevin Costner Sean Connery Charles Martin Smith Brian De Palma Crime Drama History Thriller
118,Johnny Depp,Freddie Highmore,David Kelly,Tim Burton,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,Johnny Depp Freddie Highmore David Kelly Tim Burton Adventure Comedy Family Fantasy
120,Elijah Wood,Ian McKellen,Cate Blanchett,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,Elijah Wood Ian McKellen Cate Blanchett Peter Jackson Adventure Fantasy Action
121,Elijah Wood,Ian McKellen,Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Two Towers,Adventure Fantasy Action,Elijah Wood Ian McKellen Viggo Mortensen Peter Jackson Adventure Fantasy Action
122,Elijah Wood,Ian McKellen,Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Return of the King,Adventure Fantasy Action,Elijah Wood Ian McKellen Viggo Mortensen Peter Jackson Adventure Fantasy Action
123,Christopher Guard,William Squire,Michael Scholes,Ralph Bakshi,The Lord of the Rings,Fantasy Drama Animation Adventure,Christopher Guard William Squire Michael Scholes Ralph Bakshi Fantasy Drama Animation Adventure
124,Grażyna Szapołowska,Maria Pakulnis,Aleksander Bardini,Krzysztof Kieślowski,Bez Konca,Drama Fantasy,Grażyna Szapołowska Maria Pakulnis Aleksander Bardini Krzysztof Kieślowski Drama Fantasy
127,Zbigniew Zapasiewicz,Marzena Trybała,Jerzy Stuhr,Krzysztof Kieślowski,Przypadek,Drama,Zbigniew Zapasiewicz Marzena Trybała Jerzy Stuhr Krzysztof Kieślowski Drama
128,Yōji Matsuda,Yuriko Ishida,Yūko Tanaka,Hayao Miyazaki,もののけ姫,Adventure Fantasy Animation,Yōji Matsuda Yuriko Ishida Yūko Tanaka Hayao Miyazaki Adventure Fantasy Animation
129,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Hayao Miyazaki,千と千尋の神隠し,Fantasy Adventure Animation Family,Rumi Hiiragi Miyu Irino Mari Natsuki Hayao Miyazaki Fantasy Adventure Animation Family
132,Mick Jagger,Keith Richards,Charlie Watts,Albert Maysles Charlotte Zwerin David Maysles,The Rolling Stones: Gimme Shelter,Documentary Music,Mick Jagger Keith Richards Charlie Watts Albert Maysles Charlotte Zwerin David Maysles Documentary Music
133,John F. Kennedy,Hubert H. Humphrey,Joseph Julian,Robert Drew,Primary,Documentary,John F. Kennedy Hubert H. Humphrey Joseph Julian Robert Drew Documentary
134,George Clooney,John Turturro,Tim Blake Nelson,Joel Coen,"O Brother, Where Art Thou?",Action Adventure Comedy,George Clooney John Turturro Tim Blake Nelson Joel Coen Action Adventure Comedy
135,Bob Dylan,Albert Grossman,Bob Neuwirth,D.A. Pennebaker,Dont Look Back,Documentary Music,Bob Dylan Albert Grossman Bob Neuwirth D.A. Pennebaker Documentary Music
136,Harry Earles,Daisy Earles,Olga Baclanova,Tod Browning,Freaks,Drama Horror,Harry Earles Daisy Earles Olga Baclanova Tod Browning Drama Horror
137,Bill Murray,Andie MacDowell,Chris Elliott,Harold Ramis,Groundhog Day,Romance Fantasy Drama Comedy,Bill Murray Andie MacDowell Chris Elliott Harold Ramis Romance Fantasy Drama Comedy
139,Anders W. Berthelsen,Iben Hjejle,Jesper Asholt,Søren Kragh-Jacobsen,Mifunes sidste sang,Romance Comedy Drama,Anders W. Berthelsen Iben Hjejle Jesper Asholt Søren Kragh-Jacobsen Romance Comedy Drama
140,Gael García Bernal,Fele Martínez,Daniel Giménez Cacho,Pedro Almodóvar,La mala educación,Crime Drama Romance Thriller,Gael García Bernal Fele Martínez Daniel Giménez Cacho Pedro Almodóvar Crime Drama Romance Thriller
141,Jake Gyllenhaal,Jena Malone,Patrick Swayze,Richard Kelly,Donnie Darko,Fantasy Drama Mystery,Jake Gyllenhaal Jena Malone Patrick Swayze Richard Kelly Fantasy Drama Mystery
142,Heath Ledger,Jake Gyllenhaal,Randy Quaid,Ang Lee,Brokeback Mountain,Drama Romance,Heath Ledger Jake Gyllenhaal Randy Quaid Ang Lee Drama Romance
144,Bruno Ganz,Otto Sander,Solveig Dommartin,Wim Wenders,Der Himmel über Berlin,Drama Fantasy Romance,Bruno Ganz Otto Sander Solveig Dommartin Wim Wenders Drama Fantasy Romance
145,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Lars von Trier,Breaking the Waves,Drama Romance,Emily Watson Stellan Skarsgård Katrin Cartlidge Lars von Trier Drama Romance
146,Chow Yun-fat,Michelle Yeoh,Zhang Ziyi,Ang Lee,卧虎藏龙,Adventure Drama Action Romance,Chow Yun-fat Michelle Yeoh Zhang Ziyi Ang Lee Adventure Drama Action Romance
147,Jean-Pierre Léaud,Claire Maurier,Albert Rémy,François Truffaut,Les Quatre Cents Coups,Drama,Jean-Pierre Léaud Claire Maurier Albert Rémy François Truffaut Drama
148,Sarah Polley,Tim Robbins,Javier Cámara,Isabel Coixet,The Secret Life of Words,Drama Romance,Sarah Polley Tim Robbins Javier Cámara Isabel Coixet Drama Romance
149,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Katsuhiro Ōtomo,アキラ,Sci-Fi Animation,Mitsuo Iwata Nozomu Sasaki Mami Koyama Katsuhiro Ōtomo Sci-Fi Animation
150,Nick Nolte,Eddie Murphy,Annette O'Toole,Walter Hill,48 Hrs.,Thriller Action Comedy Crime Drama,Nick Nolte Eddie Murphy Annette O'Toole Walter Hill Thriller Action Comedy Crime Drama
152,William Shatner,Leonard Nimoy,DeForest Kelley,Robert Wise,Star Trek: The Motion Picture,Sci-Fi Adventure Mystery,William Shatner Leonard Nimoy DeForest Kelley Robert Wise Sci-Fi Adventure Mystery
153,Bill Murray,Scarlett Johansson,Anna Faris,Sofia Coppola,Lost in Translation,Drama,Bill Murray Scarlett Johansson Anna Faris Sofia Coppola Drama
154,William Shatner,Leonard Nimoy,DeForest Kelley,Nicholas Meyer,Star Trek II: The Wrath of Khan,Action Adventure Sci-Fi Thriller,William Shatner Leonard Nimoy DeForest Kelley Nicholas Meyer Action Adventure Sci-Fi Thriller
155,Christian Bale,Michael Caine,Heath Ledger,Christopher Nolan,The Dark Knight,Drama Action Crime Thriller,Christian Bale Michael Caine Heath Ledger Christopher Nolan Drama Action Crime Thriller
156,Jamie Sives,Adrian Rawlins,Shirley Henderson,Lone Scherfig,Wilbur begår selvmord,Comedy Drama Romance,Jamie Sives Adrian Rawlins Shirley Henderson Lone Scherfig Comedy Drama Romance
157,William Shatner,Leonard Nimoy,DeForest Kelley,Leonard Nimoy,Star Trek III: The Search for Spock,Sci-Fi Action Adventure Thriller,William Shatner Leonard Nimoy DeForest Kelley Leonard Nimoy Sci-Fi Action Adventure Thriller
158,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Thomas Jahn,Knockin' on Heaven's Door,Comedy Crime,Til Schweiger Jan Josef Liefers Thierry van Werveke Thomas Jahn Comedy Crime
159,Til Schweiger,Katja Riemann,Joachim Król,Sönke Wortmann,Der bewegte Mann,Comedy Drama,Til Schweiger Katja Riemann Joachim Król Sönke Wortmann Comedy Drama
162,Johnny Depp,Winona Ryder,Dianne Wiest,Tim Burton,Edward Scissorhands,Fantasy Drama Romance,Johnny Depp Winona Ryder Dianne Wiest Tim Burton Fantasy Drama Romance
163,George Clooney,Brad Pitt,Catherine Zeta-Jones,Steven Soderbergh,Ocean's Twelve,Thriller Crime,George Clooney Brad Pitt Catherine Zeta-Jones Steven Soderbergh Thriller Crime
164,Audrey Hepburn,George Peppard,Patricia Neal,Blake Edwards,Breakfast at Tiffany's,Comedy Drama Romance,Audrey Hepburn George Peppard Patricia Neal Blake Edwards Comedy Drama Romance
165,Michael J. Fox,Christopher Lloyd,Lea Thompson,Robert Zemeckis,Back to the Future Part II,Adventure Comedy Family Sci-Fi,Michael J. Fox Christopher Lloyd Lea Thompson Robert Zemeckis Adventure Comedy Family Sci-Fi
166,Claude Brasseur,Brigitte Fossey,Sophie Marceau,Claude Pinoteau,La Boum,Drama Romance Comedy,Claude Brasseur Brigitte Fossey Sophie Marceau Claude Pinoteau Drama Romance Comedy
167,Jeff Bridges,Kevin Spacey,Mary McCormack,Iain Softley,K-PAX,Drama Sci-Fi,Jeff Bridges Kevin Spacey Mary McCormack Iain Softley Drama Sci-Fi
168,William Shatner,Leonard Nimoy,DeForest Kelley,Leonard Nimoy,Star Trek IV: The Voyage Home,Sci-Fi Adventure,William Shatner Leonard Nimoy DeForest Kelley Leonard Nimoy Sci-Fi Adventure
169,Kevin Peter Hall,Danny Glover,Gary Busey,Stephen Hopkins,Predator 2,Sci-Fi Action Thriller,Kevin Peter Hall Danny Glover Gary Busey Stephen Hopkins Sci-Fi Action Thriller
170,Cillian Murphy,Naomie Harris,Noah Huntley,Danny Boyle,28 Days Later,Horror Thriller Sci-Fi,Cillian Murphy Naomie Harris Noah Huntley Danny Boyle Horror Thriller Sci-Fi
171,Claude Brasseur,Brigitte Fossey,Sophie Marceau,Claude Pinoteau,La Boum 2,Comedy,Claude Brasseur Brigitte Fossey Sophie Marceau Claude Pinoteau Comedy
172,William Shatner,Leonard Nimoy,DeForest Kelley,William Shatner,Star Trek V: The Final Frontier,Sci-Fi Action Adventure Thriller,William Shatner Leonard Nimoy DeForest Kelley William Shatner Sci-Fi Action Adventure Thriller
174,William Shatner,Leonard Nimoy,DeForest Kelley,Nicholas Meyer,Star Trek VI: The Undiscovered Country,Sci-Fi Action Adventure Thriller,William Shatner Leonard Nimoy DeForest Kelley Nicholas Meyer Sci-Fi Action Adventure Thriller
175,Jean-Marc Barr,Jean Reno,Rosanna Arquette,Luc Besson,Le Grand Bleu,Adventure Drama Romance,Jean-Marc Barr Jean Reno Rosanna Arquette Luc Besson Adventure Drama Romance
176,Cary Elwes,Danny Glover,Monica Potter,James Wan,Saw,Horror Mystery Crime,Cary Elwes Danny Glover Monica Potter James Wan Horror Mystery Crime
177,Jeff Bridges,Robin Williams,Mercedes Ruehl,Terry Gilliam,The Fisher King,Comedy Drama,Jeff Bridges Robin Williams Mercedes Ruehl Terry Gilliam Comedy Drama
179,Nicole Kidman,Sean Penn,Catherine Keener,Sydney Pollack,The Interpreter,Crime Thriller,Nicole Kidman Sean Penn Catherine Keener Sydney Pollack Crime Thriller
180,Tom Cruise,Colin Farrell,Samantha Morton,Steven Spielberg,Minority Report,Action Thriller Sci-Fi Mystery,Tom Cruise Colin Farrell Samantha Morton Steven Spielberg Action Thriller Sci-Fi Mystery
182,George Clooney,Cate Blanchett,Tobey Maguire,Steven Soderbergh,The Good German,War Crime Drama Mystery Romance Thriller,George Clooney Cate Blanchett Tobey Maguire Steven Soderbergh War Crime Drama Mystery Romance Thriller
183,Fred Savage,Luke Edwards,Beau Bridges,Todd Holland,The Wizard,Adventure Comedy Drama Family Romance,Fred Savage Luke Edwards Beau Bridges Todd Holland Adventure Comedy Drama Family Romance
184,Pam Grier,Samuel L. Jackson,Robert Forster,Quentin Tarantino,Jackie Brown,Comedy Crime Romance,Pam Grier Samuel L. Jackson Robert Forster Quentin Tarantino Comedy Crime Romance
185,Malcolm McDowell,Patrick Magee,Adrienne Corri,Stanley Kubrick,A Clockwork Orange,Sci-Fi Drama,Malcolm McDowell Patrick Magee Adrienne Corri Stanley Kubrick Sci-Fi Drama
186,Josh Hartnett,Bruce Willis,Lucy Liu,Paul McGuigan,Lucky Number Slevin,Drama Thriller Crime Mystery,Josh Hartnett Bruce Willis Lucy Liu Paul McGuigan Drama Thriller Crime Mystery
187,Jessica Alba,Devon Aoki,Clive Owen,Robert Rodriguez Frank Miller,Sin City,Action Thriller Crime,Jessica Alba Devon Aoki Clive Owen Robert Rodriguez Frank Miller Action Thriller Crime
189,Mickey Rourke,Jessica Alba,Josh Brolin,Robert Rodriguez Frank Miller,Sin City: A Dame to Kill For,Crime Thriller,Mickey Rourke Jessica Alba Josh Brolin Robert Rodriguez Frank Miller Crime Thriller
192,Sean Connery,Christian Slater,Helmut Qualtinger,Jean-Jacques Annaud,The Name of the Rose,Drama Thriller Mystery,Sean Connery Christian Slater Helmut Qualtinger Jean-Jacques Annaud Drama Thriller Mystery
193,Patrick Stewart,Jonathan Frakes,Brent Spiner,David Carson,Star Trek: Generations,Sci-Fi Action Adventure Thriller,Patrick Stewart Jonathan Frakes Brent Spiner David Carson Sci-Fi Action Adventure Thriller
194,Audrey Tautou,Mathieu Kassovitz,Rufus,Jean-Pierre Jeunet,Le fabuleux destin d'Amélie Poulain,Comedy Romance,Audrey Tautou Mathieu Kassovitz Rufus Jean-Pierre Jeunet Comedy Romance
